File,Macro Name,Purpose,Parameters,SAS Constructs Used,SAS Formats/Informats,External Macro Dependencies,Detected Macro Calls,Lines of Code,Migration Classification,Recommended Snowflake Replacement
batch_submit.sas,batch_submit,"Submits the current SAS DMS editor session in batch mode, routing the log and print files to the correct output locations.",FILE; CONFIG,SYSTASK; FILENAME Statement,None,None,None,180,(d) No longer needed in Snowflake,SAS DMS batch submission utility. No equivalent needed; Snowflake uses worksheets/tasks/dbt for execution.
bench.sas,bench,Measures elapsed time between successive invocations.,PARM; DATA; MESSAGE; PRINT; DELETE,DATA _NULL_,None,parmv,parmv,285,(d) No longer needed in Snowflake,SAS elapsed time benchmarking. No equivalent needed; use Snowflake Query History and QUERY_HISTORY() function.
check_if_empty.sas,check_if_empty,Checks if the source dataset is empty.,DATA,PROC SQL; DATA STEP; DATA _NULL_,None,parmv,parmv,155,(a) Direct Snowflake SQL equivalent,Use SELECT COUNT(*) FROM table or EXISTS(SELECT 1 FROM table) in Snowflake SQL.
compare.sas,compare,PROC COMPARE either two datasets or two libraries,BASE; COMP; BY; FILTER; CHECKOBS; MAXPRINT; CRITERION; METHOD,PROC SQL; PROC SORT; PROC REPORT; PROC CONTENTS; PROC COMPARE; PROC PRINT; PROC COPY; DATA STEP; DATA _NULL_; LIBNAME Statement,of.,parmv,kill; loop; parmv; varexist,523,(a) Direct Snowflake SQL equivalent,"Use Snowflake MINUS/EXCEPT, INTERSECT, or HASH_AGG() for dataset comparison. Can also use CHANGES clause or dbt audit helpers."
count_words.sas,count_words,Returns the number of words delimited by a delimiter or set of delimiters.,LIST; VAR; DLM; CONTEXT,PROC PRINT; DATA STEP,None,parmv,parmv,149,(a) Direct Snowflake SQL equivalent,"Use REGEXP_COUNT(string, delimiter_pattern) + 1 or SPLIT/ARRAY_SIZE in Snowflake SQL."
create_datetime_range.sas,create_datetime_range,Create min and max datetime values for a given period,DATETIME; PERIOD,PROC SQL; DATA STEP; DATA _NULL_,anydtdtm.; of.,parmv,parmv,173,(a) Direct Snowflake SQL equivalent,"Use DATE_TRUNC, DATEADD, and LAST_DAY functions in Snowflake to derive min/max datetime boundaries for a period."
create_directory.sas,create_directory,"Creates a directory using the dlcreatedir option, without requiring the ALLOWXCMD option to be active.",ROOT; PATH; DLM; LIBREF,PROC OPTIONS; SYSTASK; LIBNAME Statement,None,%parmv %loop %seplist,loop; parmv; seplist,135,(d) No longer needed in Snowflake,Creates OS directories from SAS. No equivalent needed; Snowflake uses stages for file storage.
create_format.sas,create_format,Create a format from an input dataset.,DATA; LIB; CAT; NAME; TYPE; START; END; LABEL; DEFAULT; MIN; MAX; FUZZ; OTHER; KEEP; WHERE; DEDUP,PROC SORT; PROC FORMAT; LIBNAME Statement,and.; for.; is.; label.; or.,"parmv, kill, nobs",nobs; parmv,409,(b) Requires Snowflake UDF/stored procedure,Create Snowflake SQL UDF as lookup function (CASE WHEN or mapping table JOIN) to replicate SAS format functionality.
date_impute.sas,date_impute,Impute partial dates,IN_DATE; IN_Y; IN_M; IN_D; OUT_DATE; OUT_FLAG; IMP_Y; IMP_M; IMP_D; MONTH_FMT,DATA STEP,Using.; best.; date9.; for.; in.; is.; is8601da.; to.,parmv,None,327,(b) Requires Snowflake UDF/stored procedure,"Create Snowflake SQL UDF or stored procedure for partial date imputation logic using COALESCE, IFF, DATE_FROM_PARTS, and LAST_DAY."
dedup_mstring.sas,dedup_mstring,Removes duplicate words from a macro variable string,IN; INDLM; DLM,None (pure macro logic),is.; string.,parmv,parmv,187,(a) Direct Snowflake SQL equivalent,"Use ARRAY_DISTINCT(SPLIT(string, delim)) and ARRAY_TO_STRING in Snowflake to deduplicate delimited strings."
dedup_string.sas,dedup_string,Removes duplicate items from a string,INVAR; OUTVAR; DLM,DATA _NULL_,None,parmv,parmv,122,(a) Direct Snowflake SQL equivalent,"Use ARRAY_DISTINCT(SPLIT(string, delim)) and ARRAY_TO_STRING in Snowflake to deduplicate delimited strings."
delete_file.sas,delete_file,"Deletes an external file, either by physical filename or by pre-allocated fileref.",FILE; RC,FILENAME Statement,is.,parmv,parmv,196,(d) No longer needed in Snowflake,Deletes external files from SAS. No equivalent needed; use Snowflake REMOVE @stage for stage file management.
dirlist.sas,dirlist,Creates a SAS dataset containing a directory list of external files.,DIR; DATA; TYPE; FILTER,DATA _NULL_; FILENAME Statement,comma32.; is.,parmv,parmv,227,(b) Requires Snowflake UDF/stored procedure,Create Snowflake stored procedure using LIST @stage to enumerate files in a Snowflake stage (replaces OS directory listing).
dump_mvars.sas,dump_mvars,Dumps macro variables to the log.,MVARS; SCOPE; SORT,PROC SQL; DATA _NULL_,None,parmv,parmv; seplist,225,(d) No longer needed in Snowflake,Dumps SAS macro variables to log. No equivalent needed; use Snowflake session variables or SYSTEM$LOG for debugging.
empty.sas,empty,Checks if the source dataset is empty.,DATA,PROC SQL; DATA STEP; DATA _NULL_,None,parmv,parmv,155,(a) Direct Snowflake SQL equivalent,Use SELECT COUNT(*) FROM table or EXISTS(SELECT 1 FROM table) in Snowflake SQL.
excel2sas.sas,excel2sas,Read an Excel workbook into a SAS dataset(s) using PROC IMPORT,FILE; LIB; OUT; GETNAMES; RANGE; SELECT; EXCLUDE; MIXED; SCANTEXT; SCANTIME; USEDATE; TEXTSIZE; DBSASLABEL; WHERE; IF; FIRSTOBS; LASTOBS; OBS; KEEP; DROP; RENAME,PROC SQL; PROC IMPORT; DATA STEP; LIBNAME Statement,DATETIME.,"parmv, seplist, subset_data, loop, kill",kill; loop; parmv; seplist; subset_data,558,(c) Requires Python/dbt replacement,"Use Snowflake PUT + COPY INTO for Excel ingestion, or Python (pandas.read_excel + write_pandas) for complex Excel import with sheet/range selection."
execpath.sas,execpath,"Returns either the full path or the file name of the currently executing program, in all of DMS, EG, line mode, and batch mode, on both Unix and Windows.",BASENAME,FILENAME Statement,None,None,parmv,157,(d) No longer needed in Snowflake,Returns path of currently executing SAS program. No equivalent needed in Snowflake's cloud-based execution model.
execute_macro.sas,execute_macro,Execute a macro if the macro exists. If the macro does not exist do nothing.,macroname,FILENAME Statement,None,None,None,146,(d) No longer needed in Snowflake,Conditionally executes a SAS macro if it exists. No direct equivalent needed; use Snowflake stored procedures with conditional EXECUTE IMMEDIATE.
export.sas,export,Replacement macro for PROC EXPORT,DATA; FILE; DBMS; DELIMITER; DLM; REPLACE; LABEL; HEADER; LRECL,PROC EXPORT; DATA STEP; DATA _NULL_; FILENAME Statement,is.,parmv,parmv,356,(c) Requires Python/dbt replacement,"Use Snowflake COPY INTO @stage for file export, or Python (pandas/snowflake-connector) for complex export logic. dbt can orchestrate export steps."
export_csv.sas,export_csv,Wrapper macro for the %export_dlm macro used to export a SAS dataset to a CSV file.,DATA; PATH; REPLACE; LABEL; HEADER; LRECL,None (pure macro logic),is.,"export_dlm, parmv",export_dlm; parmv,114,(c) Requires Python/dbt replacement,"Use COPY INTO @stage FILE_FORMAT=(TYPE=CSV) for CSV export, or Python snowflake-connector with write_pandas/to_csv."
export_dbms.sas,export_dbms,Wrapper macro for PROC EXPORT used to export a SAS dataset to an external file.,DATA; PATH; DBMS; REPLACE; LABEL,PROC EXPORT; PROC COPY; DATA STEP; FILENAME Statement,e8601da.; is.,parmv,export_sbms; parmv,521,(c) Requires Python/dbt replacement,Use COPY INTO @stage with appropriate FILE_FORMAT for format-specific export. Python for complex DBMS-specific exports.
export_dlm.sas,export_dlm,Replacement macro for PROC EXPORT for exporting a SAS dataset to a delimited file.,DATA; PATH; DBMS; DELIMITER; DLM; REPLACE; LABEL; HEADER; LRECL,PROC EXPORT; DATA STEP; DATA _NULL_; FILENAME Statement,e8601da.; is.,parmv,parmv,615,(c) Requires Python/dbt replacement,"Use COPY INTO @stage FILE_FORMAT=(TYPE=CSV FIELD_DELIMITER=delim) for delimited export, or Python for custom delimiter handling."
export_rldx.sas,export_rldx,Wrapper macro to call various child macros to export a SAS dataset or SQL Server table to various target formats.,DATA; PATH; REPLACE; LABEL; HEADER; LRECL; PREFIX; OUTLIB; OUTDATA; EXPORT_SAPHARI; EXPORT_SAS; EXPORT_CSV; EXPORT_XLSX; EXPORT_SPSS; EXPORT_STATA,DATA STEP; LIBNAME Statement,is.,parmv export_dlm export_dbms export_csv export_spss export_stata export_saphari,export_csv; export_saphari; export_sas; export_spss; export_stata; export_xlsx; libname_sqlsvr; parmv,391,(c) Requires Python/dbt replacement,Create Python orchestration script that routes export to appropriate Snowflake COPY INTO or external tool based on target format.
export_saphari.sas,export_saphari,Export SAS dataset or SQL Server table to Saphari.,DATA; PREFIX,PROC SQL; PROC DATASETS; DATA STEP; LIBNAME Statement,year2.,"parmv, create_format, nobs",create_format; libname_sqlsvr; loop; nobs; parmv,337,(c) Requires Python/dbt replacement,"Create Python script for Saphari-specific export format. Use Snowflake COPY INTO for data extraction, then Python for format transformation."
export_sas.sas,export_sas,Simple macro to copy a source dataset to a target library with some additional error checking.,DATA; OUTLIB; OUTDATA,PROC CONTENTS; PROC DATASETS; PROC COPY; DATA STEP; LIBNAME Statement,None,parmv,parmv,364,(c) Requires Python/dbt replacement,Use Snowflake CLONE or CREATE TABLE AS SELECT for table-to-table copy. Python with pyarrow for SAS-format output if still needed.
export_spss.sas,export_spss,Wrapper macro for the %export_dbms macro used to export a SAS dataset to an SPSS file.,DATA; PATH; REPLACE; LABEL,None (pure macro logic),is.,"export_dbms, parmv",export_dbms; parmv,100,(c) Requires Python/dbt replacement,Use Python (pyreadstat or savReaderWriter) to write SPSS files from Snowflake query results via snowflake-connector.
export_stata.sas,export_stata,Wrapper macro for the %export_dbms macro used to export a SAS dataset to a STATA file.,DATA; PATH; REPLACE; LABEL,None (pure macro logic),is.,"export_dbms, parmv",export_dbms; parmv,102,(c) Requires Python/dbt replacement,Use Python (pandas.to_stata or pyreadstat) to write Stata files from Snowflake query results via snowflake-connector.
export_tab.sas,export_tab,Wrapper macro for the %export_dlm macro used to export a SAS dataset to a TDF file.,DATA; PATH; REPLACE; LABEL; HEADER; LRECL,None (pure macro logic),is.,"export_dlm, parmv",export_dlm; parmv,116,(c) Requires Python/dbt replacement,Use COPY INTO @stage FILE_FORMAT=(TYPE=CSV FIELD_DELIMITER=tab) for tab-delimited export from Snowflake.
export_xlsx.sas,export_xlsx,Wrapper macro for the %export_dbms macro used to export a SAS dataset to an XLSX file.,DATA; PATH; REPLACE; LABEL,None (pure macro logic),is.,"export_dbms, parmv",export_dbms; parmv,102,(c) Requires Python/dbt replacement,Use Python (openpyxl/xlsxwriter) to create Excel files from Snowflake query results. Snowpark can also be used.
fmtexist.sas,fmtexist,Checks the format searchpath for the existence of a format or informat.,FORMAT; CATALOG,LIBNAME Statement,of.,parmv,parmv,137,(a) Direct Snowflake SQL equivalent,No direct format catalog in Snowflake. Check for UDFs or file formats via SHOW FILE FORMATS / SHOW USER FUNCTIONS.
fmtlist.sas,fmtlist,Prints contents of one or more format or informat entries.,LIST; CATALOG; TYPE; DETAILS,PROC SQL; PROC FORMAT; LIBNAME Statement,$chrfmt.; numfmt.; of.,"parmv, seplist",loop; parmv; seplist,300,(b) Requires Snowflake UDF/stored procedure,Create Snowflake stored procedure to list UDF definitions (format equivalents) from INFORMATION_SCHEMA.FUNCTIONS.
format_text.sas,format_text,,None,None (pure macro logic),None,None,None,33,(d) No longer needed in Snowflake,Formats text for SAS reporting. No equivalent needed; handled by BI/reporting tools in Snowflake ecosystem.
get_data_attr.sas,get_data_attr,Function style macro to return a dataset attribute.,DATA; ATTR,DATA STEP; DATA _NULL_,None,parmv,parmv,227,(a) Direct Snowflake SQL equivalent,Use INFORMATION_SCHEMA.TABLES and INFORMATION_SCHEMA.COLUMNS for dataset/column attributes in Snowflake.
get_dups.sas,get_dups,Identifies duplicate records given a list of variables,DATA; VARLIST; PROC; METHOD; SORT; PRINT,PROC SQL; PROC SORT; PROC PRINT; PROC MEANS; DATA STEP; LIBNAME Statement,is.,parmv seplist,parmv; seplist,328,(a) Direct Snowflake SQL equivalent,"Use GROUP BY / HAVING COUNT(*) > 1, or QUALIFY ROW_NUMBER() OVER (PARTITION BY keys ORDER BY ...) > 1 in Snowflake."
get_lib_attr.sas,get_lib_attr,Function style macro to return a library attribute.,LIBNAME; ATTR; LEVELS; DLM,LIBNAME Statement,would.,parmv,parmv,178,(a) Direct Snowflake SQL equivalent,Use INFORMATION_SCHEMA.SCHEMATA or SHOW SCHEMAS/DATABASES for library (schema) attributes in Snowflake.
get_parameters.sas,get_parameters,Get global and optional job-specific parameters (macro variables) from a specially structured metadata dataset,_FLTR; _NAME; _WHERE; _METADATA; _CLEAR; _RESOLVE; _MISSING; _SYMBOLTABLE,PROC SQL; DATA STEP; DATA _NULL_,$200.; in.; is.,"parmv, seplist, dump_mvars",dump_mvars; parmv; seplist,447,(b) Requires Snowflake UDF/stored procedure,Create Snowflake stored procedure to read parameter metadata table and set session variables via EXECUTE IMMEDIATE.
get_permutations.sas,get_permutations,Gets all the permutations (combinations) of values from an input list of data.,DATA; OUT; VAR; LIST; LEVEL; MIN_LEVEL; MAX_LEVEL; PRINT,PROC SQL; PROC DATASETS; PROC TRANSPOSE; PROC PRINT; DATA STEP; LIBNAME Statement,for.; is.,"parmv, seplist",nobs; parmv; seplist,502,(a) Direct Snowflake SQL equivalent,Use recursive CTEs or cross joins in Snowflake to generate permutations/combinations of values.
getpassword.sas,getpassword,Gets a password from an external file,FILENAME,FILENAME Statement,Macros.; to.,parmv,parmv,148,(d) No longer needed in Snowflake,"Reads password from external file for SAS. No equivalent needed; use Snowflake secrets, key-pair auth, or external secret managers (e.g. AWS Secrets Manager)."
guess_pk.sas,guess_pk,Guess the primary key of a SAS dataset or RDBMS table.,DATA; OUT; VARLIST; KEEP; DROP; LEVEL; MIN_LEVEL; MAX_LEVEL; STOP; METHOD; PRINT,PROC SQL; PROC DATASETS; PROC TRANSPOSE; PROC PRINT; PROC FREQ; PROC APPEND; DATA STEP; HASH OBJECT; LIBNAME Statement,is.,"parmv, seplist, varlist, dedup_mstring, loop, loop_control, nobs, get_permutations",dedup_mstring; get_permutations; loop; loop_control; nobs; parmv; seplist; varlist,916,(a) Direct Snowflake SQL equivalent,Use INFORMATION_SCHEMA queries with GROUP BY/HAVING COUNT(DISTINCT ...)=COUNT(*) to identify candidate primary keys in Snowflake.
handle.sas,handle,Print a list of open file handles to the SAS log,LIB; DATA; UNLOCK; EMAIL,PROC SQL; DATA STEP; DATA _NULL_; SYSTASK; FILENAME Statement,5.; is.,None,loop; nobs; parmv; sendmail; useridToEmail,452,(d) No longer needed in Snowflake,Lists open SAS file handles and optionally sends email alerts. No equivalent needed; Snowflake manages file handles internally.
hash_define.sas,hash_define,Defines a hash object for later lookup.,DATA; KEYS; VARS; RENAME; WHERE; KEEP; ORDERED; MULTIDATA; REPLACE; HASHNAME,PROC SORT; PROC PRINT; DATA STEP; HASH OBJECT,_rc_h.; date7.; is.; will.; yymmddd.,"parmv, seplist",hash_lookup; loop; parmv; seplist,500,(b) Requires Snowflake UDF/stored procedure,Replace SAS hash object with Snowflake JOIN operations or temporary tables. Create stored procedure for complex multi-key lookup patterns.
hash_lookup.sas,hash_lookup,Lookup satellite variables from a hash object.,HASHNUM; HASHNAME; LOOKUP; LINK; RETURN,PROC SORT; PROC PRINT; DATA STEP; HASH OBJECT,date7.; is.; yymmddd.,parmv,parmv,311,(b) Requires Snowflake UDF/stored procedure,Replace SAS hash lookup with Snowflake LEFT JOIN or stored procedure implementing lookup logic against temporary tables.
hash_split_dataset.sas,hash_split_dataset,Use hash object to split dataset into multiple datasets,DATA; OUT; BY; VARS,PROC SQL; PROC FORMAT; PROC CONTENTS; DATA STEP; DATA _NULL_; HASH OBJECT,$key.,"parmv, kill",kill; parmv; seplist,162,(b) Requires Snowflake UDF/stored procedure,Create Snowflake stored procedure using EXECUTE IMMEDIATE to dynamically create tables per group via CTAS with WHERE.
justify.sas,justify,"Creates a macro variable with text left, center, and right justified within a given width (usually the linesize). (pure macro solution)",LEFT; CENTER; RIGHT; WIDTH; TRIM,PROC PRINT; DATA _NULL_,is.; may.,parmv,parmv,243,(b) Requires Snowflake UDF/stored procedure,"Create Snowflake SQL UDF using LPAD, RPAD, and string arithmetic for left/center/right text justification."
kill.sas,kill,Deletes specified contents from a library,LIB; TYPE; SAVE; DELETE; DATA,PROC SQL; PROC DATASETS; LIBNAME Statement,None,parmv,parmv,207,(a) Direct Snowflake SQL equivalent,Use DROP TABLE/VIEW/SCHEMA or INFORMATION_SCHEMA queries to identify and drop objects. Snowflake supports DROP ... CASCADE.
libname_attr_sqlsvr.sas,libname_attr_sqlsvr,"Retrieve libname attributes (server name, database name, default schema) from an ODBC libname allocated to a SQL Server instance.",LIBREF; PREFIX,PROC SQL; LIBNAME Statement,is.,parmv,parmv,263,(d) No longer needed in Snowflake,Retrieves SAS ODBC libname attributes for SQL Server. No equivalent needed; Snowflake metadata is in INFORMATION_SCHEMA.
libname_sqlsvr.sas,libname_sqlsvr,Allocate a SQL Server library via ODBC,LIBREF; DATABASE; SCHEMA; OPTIONS; SERVER; PORT,LIBNAME Statement,None,parmv dump_mvars,parmv,205,(d) No longer needed in Snowflake,Allocates SAS ODBC library to SQL Server. No equivalent needed; Snowflake connects to SQL Server via external tables or data sharing.
lock.sas,lock,Obtain or clear a dataset lock.,MEMBER; TIMEOUT; RETRY; ACTION; ONFAIL; UNLOCK; EMAIL,None (pure macro logic),of.,parmv get_data_attr handle,get_data_attr; handle; parmv,352,(d) No longer needed in Snowflake,SAS dataset locking mechanism. No equivalent needed; Snowflake handles concurrency via MVCC (no explicit locking required).
log2pdf.sas,log2pdf,,LOGFILE; PDFFILE,PROC REPORT; DATA STEP; FILENAME Statement; ODS Output,None,None,None,59,(d) No longer needed in Snowflake,Converts SAS log to PDF with syntax highlighting. No equivalent needed in Snowflake.
logparse.sas,logparse,,None,PROC DATASETS; DATA STEP,of.; scans.; time12.3; when.,None,None,655,(d) No longer needed in Snowflake,Parses SAS log files for performance statistics. No equivalent needed; use Snowflake QUERY_HISTORY and ACCOUNT_USAGE views.
loop.sas,loop,"A ""wrapper"" macro to execute code over a list of items",__LIST__; DLM; MNAME,PROC SQL; PROC DATASETS; PROC PRINT; DATA STEP; LIBNAME Statement,of.,parmv,parmv,249,(b) Requires Snowflake UDF/stored procedure,Create Snowflake stored procedure with RESULTSET cursor iteration or JavaScript UDF for dynamic looping over value lists.
loop_control.sas,loop_control,"A ""wrapper"" macro to execute code over a list of items defined in a control table",CONTROL; MNAME,PROC PRINT; PROC FREQ; DATA STEP,None,parmv,parmv,231,(b) Requires Snowflake UDF/stored procedure,Create Snowflake stored procedure that reads a control table and executes dynamic SQL for each row using EXECUTE IMMEDIATE.
marker.sas,marker,Process marker files used to control job scheduling,PATH; ACTION; CHECK; SLEEP; TIMEOUT; _RC,SYSTASK,is.,parmv,parmv,185,(d) No longer needed in Snowflake,SAS marker file-based job scheduling control. Replace with Snowflake Tasks dependencies or external orchestrators.
max_decimals.sas,max_decimals,"Derives the maximum number of decimal places within a given variable(s), either for the entire dataset or by groups.",DATA; OUT; TYPE; VAR; BY; PREFIX,PROC SQL; PROC CONTENTS; DATA STEP,best32.,"parmv, seplist",parmv; seplist,239,(a) Direct Snowflake SQL equivalent,"Use LENGTH(SPLIT_PART(TO_VARCHAR(col), '.', 2)) or REGEXP-based approach in Snowflake SQL to derive decimal places."
nobs.sas,nobs,Return the number of observations in a data set.,DATA; MVAR,PROC SQL; DATA STEP; DATA _NULL_,None,parmv,parmv,254,(a) Direct Snowflake SQL equivalent,"Use SELECT COUNT(*) FROM table, or query INFORMATION_SCHEMA.TABLES for row count metadata."
optload.sas,optload,Loads SAS options for an options dataset,DATA,PROC OPTLOAD,None,parmv,parmv,92,(d) No longer needed in Snowflake,Loads SAS session options from dataset. No equivalent needed; Snowflake session parameters are set via ALTER SESSION.
optsave.sas,optsave,Saves current options settings to a SAS dataset,OUT,PROC OPTSAVE,None,parmv,parmv,88,(d) No longer needed in Snowflake,Saves SAS session options to dataset. No equivalent needed; Snowflake session parameters are managed differently.
optval.sas,optval,Returns value of option,OPTNAME; KEYWORD,DATA _NULL_,in.; of.,None,parmv,97,(d) No longer needed in Snowflake,Returns SAS option value. No equivalent needed; use SHOW PARAMETERS or CURRENT_* functions in Snowflake.
pagexofy.sas,pagexofy,"Add page numbers to output, usually in the form of ""Page x of Y"".",INFILE; OUTFILE; STYLE; DELIM; JUSTIFY; LS,PROC PRINT; PROC PRINTTO; DATA STEP; DATA _NULL_; FILENAME Statement; ODS Output,8.; to.,parmv,parmv,471,(d) No longer needed in Snowflake,"Adds page numbers to SAS output files. No equivalent needed; reporting tools (Tableau, Power BI) handle pagination natively."
parmv.sas,parmv,Macro parameter validation utility. Returns parmerr=1 and writes ERROR message to log for parameters with invalid values.,_PARM; _VAL; _REQ; _WORDS; _CASE; _MSG; _VARCHK; _DEF,None (pure macro logic),equals.; for.; not.; null.; of.; only.; required.; when.,None,None,359,(d) No longer needed in Snowflake,SAS macro parameter validation utility. No equivalent needed; Snowflake stored procedures validate arguments natively via SQL or JavaScript.
queryActiveDirectory.sas,queryActiveDirectory,Execute an LDAP query against Active Directory,SERVER; PORT; BASE; BINDDN; PW; FILTER; ATTRS; DEBUG,PROC SQL; PROC TRANSPOSE; PROC PRINT; DATA STEP; DATA _NULL_,$100.; $4096.; into.; will.,parmv,parmv,481,(c) Requires Python/dbt replacement,Use Python (ldap3 library) for LDAP/Active Directory queries. Can be wrapped as Snowflake External Function if needed.
randlist.sas,randlist,Macro to create a random list of data,DATA; OUT; OUTRAND; VAR; MVAR; PCT; MIN; MAX; SEED,PROC SQL; DATA STEP,for.; is.; of.,"parmv, varexist, nobs",nobs; parmv; varexist,294,(a) Direct Snowflake SQL equivalent,Use ORDER BY RANDOM() LIMIT n or SAMPLE(n) in Snowflake for random row selection.
realloc_concat_libs.sas,realloc_concat_libs,Reallocate concatenated libraries so that all levels > 1 are allocated as readonly,None,PROC SQL; DATA _NULL_; FILENAME Statement; LIBNAME Statement; %INCLUDE,None,None,None,100,(d) No longer needed in Snowflake,Reallocates concatenated SAS libraries as readonly. No equivalent needed; Snowflake uses schemas/databases with RBAC.
reduce_pixel.sas,reduce_pixel,Macro to reduce a map based on the pixel size of the output. Creates a map dataset that has reduced size and also removes single- and dual-point polygons.,INMAP; OUTMAP; ID; XPIX; YPIX; MULT,PROC SORT; PROC COPY; DATA _NULL_; LIBNAME Statement,greater.; of.,parmv,nobs; parmv,211,(d) No longer needed in Snowflake,Reduces map dataset based on pixel resolution. SAS-specific GIS/mapping utility; use Snowflake Geospatial functions or external GIS tools.
sendmail.sas,sendmail,Macro to send an email using a metadata dataset,METADATA; TO; CC; BCC; FROM; REPLYTO; SUBJECT; ATTACH; CONTENT_TYPE; ENCODING,DATA STEP; DATA _NULL_; FILENAME Statement,None,"parmv, seplist",parmv; seplist,261,(c) Requires Python/dbt replacement,Use Python (smtplib/boto3 SES) or Snowflake External Functions calling AWS Lambda/Azure Functions for email sending.
seplist.sas,seplist,Emit a list of words separated by a delimiter.,ITEMS; INDLM; DLM; PREFIX; NEST; SUFFIX; TRIM,None (pure macro logic),None,None,parmv,201,(a) Direct Snowflake SQL equivalent,"Use LISTAGG(column, delimiter) or ARRAY_AGG + ARRAY_TO_STRING in Snowflake SQL for separated lists."
splitvar.sas,splitvar,In-datastep macro to insert split characters in a string variable.,VAR; COLS; SPLIT; OUTVAR; HANGING_INDENT,PROC REPORT; PROC PRINT; DATA STEP,None,parmv,parmv,221,(b) Requires Snowflake UDF/stored procedure,Create Snowflake SQL UDF to insert split characters at word boundaries within a string for report column formatting.
